id,name,article,category_id,manager_id,surface_id,logo_id,material_id,dimensions,characteristics,tags,price,cost_price,norm_stock,notes,photos,is_active,created_at,updated_at,weight,puzzle_options,mat_area,border_type,carpet_edge_sides,carpet_edge_strength,bottom_type_id,puzzle_type_id,puzzle_sides,grade,carpet_edge_type,product_type,pur_number,surface_ids,press_type
38,ЛЕЖ,ЛЕЖ-1850x1200x30-ЧЕШУЙ-ШИП11-1СОРТ,3,,7,,,"{""width"": 1200, ""length"": 1850, ""thickness"": 30}",,,,,0,,,t,2025-08-21 12:37:33.754633,2025-08-27 11:50:14.372,,,2.232,,1,reinforced,5,,1,usual,straight_cut,carpet,,{7},not_selected
35,ЛЕЖ,ЛЕЖ-2030x1200x30-ЧЕРТ-ШИП11-1СОРТ,3,,6,,,"{""width"": 1200, ""length"": 2030, ""thickness"": 30}",,,,,0,,,t,2025-08-21 12:33:33.755585,2025-08-27 11:51:54.335,,,2.4563,,1,reinforced,5,,1,usual,straight_cut,carpet,,{6},not_selected
55,мат,МАТ-2030x1190x24-ЧЕШУЙ-ШИП7-1СОРТ,3,,7,,,"{""width"": 1190, ""length"": 2030, ""thickness"": 24}",,,,,0,,,f,2025-08-22 07:17:31.871379,2025-08-27 13:12:47.771,,,2.4157,,4,normal,4,3,4,usual,puzzle,carpet,,{7},not_selected
51,мат,МАТ-1700x1100x24-ЧЕШУЙ-ШИП7-2СОРТ,3,,7,,,"{""width"": 1100, ""length"": 1700, ""thickness"": 24}",,,,,0,,,t,2025-08-22 07:11:03.341501,2025-08-27 13:16:11.799,,,1.9092,,1,normal,4,,1,usual,straight_cut,carpet,,{7},not_selected
50,мат,МАТ-1800x1200x24-ЧЕШУЙ-ШИП7-2СОРТ,3,,7,,,"{""width"": 1200, ""length"": 1800, ""thickness"": 24}",,,,,0,,,t,2025-08-22 07:09:29.29441,2025-08-27 13:16:58.966,,,2.172,,1,normal,4,,1,usual,straight_cut,carpet,,{7},not_selected
21,мат,МАТ-1750x1200x24-ЧЕШУЙ-ШИП5-усил-1СОРТ,2,,7,,,"{""width"": 1200, ""length"": 1750, ""thickness"": 24}",,,,,0,,,t,2025-08-21 11:25:53.624947,2025-08-27 13:18:26.11,,,2.0825,,1,reinforced,3,,1,usual,straight_cut,carpet,,{7},not_selected
45,ЛЕЖ,ЛЕЖ-2050x1200x24-ЧЕШУЙ-ШИП7-1СОРТ,3,,7,,,"{""width"": 1200, ""length"": 2050, ""thickness"": 24}",,,,,0,,,t,2025-08-22 06:35:45.956089,2025-09-02 08:27:40.89,,,2.4926,without_border,1,normal,,,1,usual,straight_cut,carpet,,{7},not_selected
44,ЛЕЖ,ЛЕЖ-1850x1200x24-ЧЕШУЙ-ШИП7-1СОРТ,3,,7,,,"{""width"": 1200, ""length"": 1850, ""thickness"": 24}",,,,,0,,,t,2025-08-22 06:34:05.031795,2025-09-02 08:29:01.464,,,2.2627,without_border,1,normal,,,1,usual,straight_cut,carpet,,{7},not_selected
46,ЛЕЖ,ЛЕЖ-2030x1200x24-ЧЕШУЙ-ШИП7-1СОРТ,3,,7,,,"{""width"": 1200, ""length"": 2030, ""thickness"": 24}",,,,,0,,,t,2025-08-22 06:37:03.910098,2025-09-02 08:30:00.69,,,2.4563,without_border,1,normal,,,1,usual,straight_cut,carpet,,{7},not_selected
47,ЛЕЖ,ЛЕЖ-2050x1200x24-ЧЕШУЙ-ШИП7-2СОРТ,3,,7,,,"{""width"": 1200, ""length"": 2050, ""thickness"": 24}",,,,,0,,,t,2025-08-22 06:38:14.463766,2025-09-02 08:31:06.786,,,2.4926,without_border,1,normal,,,1,usual,straight_cut,carpet,,{7},not_selected
40,ЛЕЖ,ЛЕЖ-1500x800x24-ЧЕШУЙ-GEA-ШИП7-1СОРТ,3,,11,4,,"{""width"": 800, ""length"": 1500, ""thickness"": 24}",,,,,0,,,t,2025-08-22 06:21:37.644737,2025-09-02 08:45:37.323,,,1.2312,without_border,1,normal,,,1,usual,straight_cut,carpet,,{11},not_selected
41,ЛЕЖ,ЛЕЖ-1600x800x24-ЧЕШУЙ-GEA-ШИП7-1СОРТ,3,,11,4,,"{""width"": 800, ""length"": 1600, ""thickness"": 24}",,,,,0,,,t,2025-08-22 06:22:59.416236,2025-09-02 08:46:46.121,,,1.3041,without_border,1,normal,,,1,usual,straight_cut,carpet,,{11},not_selected
49,ЛЕЖ,ЛЕЖ-1930x1200x24-ЧЕШУЙ-VELES-ШИП7-1СОРТ,3,,11,6,,"{""width"": 1200, ""length"": 1930, ""thickness"": 24}",,,,,0,,,t,2025-08-22 06:41:02.487926,2025-09-02 08:47:38.814,,,2.3353,without_border,1,normal,,,1,usual,straight_cut,carpet,,{11},not_selected
53,ЛЕЖ,ЛЕЖ-1600x800x24-ЧЕШУЙ-ШИП7-1СОРТ,3,,7,,,"{""width"": 800, ""length"": 1600, ""thickness"": 24}",,,,,0,,,t,2025-08-22 07:13:53.993596,2025-09-02 09:03:17.047,,,1.3041,without_border,1,normal,,,1,usual,straight_cut,carpet,,{7},not_selected
56,ЛЕЖ,ЛЕЖ-1930x1200x24-ЧЕШУЙ-ШИП7-1СОРТ,3,,7,,,"{""width"": 1200, ""length"": 1930, ""thickness"": 24}",,,,,0,,,t,2025-08-22 07:27:41.882252,2025-09-02 09:25:54.2,,,2.3353,without_border,1,normal,,,1,usual,straight_cut,carpet,,{7},not_selected
62,ЛЕЖ,ЛЕЖ-1600x800x24-ЧЕШУЙ-ШИП7-Прям рез-1СОРТ,3,,7,,,"{""width"": 800, ""length"": 1600, ""thickness"": 24}",,,,,0,,,t,2025-08-22 07:48:18.454223,2025-09-02 09:27:10.398,,,1.28,without_border,1,normal,,,1,usual,straight_cut,carpet,,{7},not_selected
61,ЛЕЖ,ЛЕЖ-2000x1190x24-ЧЕШУЙ-ШИП7-4ст стар п-1СОРТ,3,,7,,,"{""width"": 1190, ""length"": 2000, ""thickness"": 24}",,,,,0,,,t,2025-08-22 07:46:20.881572,2025-09-02 09:42:32.224,,,2.38,without_border,4,normal,,1,4,usual,puzzle,carpet,,{7},not_selected
59,ЛЕЖ,ЛЕЖ-1600x780x24-ЧЕШУЙ-ШИП7-Прям рез-1СОРТ,3,,7,,,"{""width"": 780, ""length"": 1600, ""thickness"": 24}",,,,,0,,,t,2025-08-22 07:33:42.083579,2025-09-02 09:43:14.511,,,1.248,without_border,1,normal,,,1,usual,straight_cut,carpet,,{7},not_selected
58,ЛЕЖ,ЛЕЖ-1600x980x24-ЧЕШУЙ-ШИП7-Прям рез-1СОРТ,3,,7,,,"{""width"": 980, ""length"": 1600, ""thickness"": 24}",,,,,0,,,t,2025-08-22 07:32:07.985635,2025-09-02 09:43:56.479,,,1.568,without_border,1,normal,,,1,usual,straight_cut,carpet,,{7},not_selected
57,ЛЕЖ,ЛЕЖ-1600x880x24-ЧЕШУЙ-ШИП7-Прям рез-1СОРТ,3,,7,,,"{""width"": 880, ""length"": 1600, ""thickness"": 24}",,,,,0,,,t,2025-08-22 07:29:09.20923,2025-09-02 09:44:57.232,,,1.408,without_border,1,normal,,,1,usual,straight_cut,carpet,,{7},not_selected
52,ЛЕЖ,ЛЕЖ-1600x1000x24-ЧЕШУЙ-ШИП7-1СОРТ,3,,7,,,"{""width"": 1000, ""length"": 1600, ""thickness"": 24}",,,,,0,,,t,2025-08-22 07:12:23.72199,2025-09-02 09:45:42.88,,,1.6261,without_border,1,normal,,,1,usual,straight_cut,carpet,,{7},not_selected
64,мат,МАТ-2030x1200x21-ЧЕРТ-ШИП0-1СОРТ,2,,6,,,"{""width"": 1200, ""length"": 2030, ""thickness"": 21}",,,,,0,,,t,2025-08-22 07:57:13.613359,2025-08-27 12:55:53.485,,,2.4563,,1,normal,1,,1,usual,straight_cut,carpet,,{6},not_selected
2,мат,МАТ-1750x1200x24-ЧЕШУЙ-ШИП5-4ст нов лит п-усил-1СОРТ,2,,7,,,"{""width"": 1200, ""length"": 1750, ""thickness"": 24}",,,,,0,,,t,2025-08-20 11:14:05.28692,2025-08-27 13:24:23.497,,,2.1,,4,reinforced,3,3,4,usual,straight_cut,carpet,,{7},not_selected
69,мат,МАТ-1900x1200x21-ЧЕШУЙ-ШИП2-1СОРТ,2,,7,,,"{""width"": 1200, ""length"": 1900, ""thickness"": 21}",,,,,0,,,t,2025-08-22 08:46:05.325418,2025-08-22 08:46:05.325418,,,2.28,,1,normal,2,,1,usual,straight_cut,carpet,,{7},not_selected
70,мат,МАТ-2000x1190x21-ЧЕШУЙ-ШИП2-4ст нов п-1СОРТ,2,,7,,,"{""width"": 1190, ""length"": 2000, ""thickness"": 21}",,,,,0,,,t,2025-08-22 08:47:50.317082,2025-08-22 08:47:50.317082,,,2.38,,4,normal,2,3,4,usual,puzzle,carpet,,{7},not_selected
73,мат,МАТ-1300x715x24-ЧЕШУЙ-ШИП5-1СОРТ,2,,7,,,"{""width"": 715, ""length"": 1300, ""thickness"": 24}",,,,,0,,,t,2025-08-22 10:43:52.124262,2025-08-22 10:43:52.124262,,,0.9295,,1,normal,3,,1,usual,straight_cut,carpet,,{7},not_selected
74,мат,МАТ-1300x715x24-ЧЕШУЙ-ШИП2-1СОРТ,2,,7,,,"{""width"": 715, ""length"": 1300, ""thickness"": 24}",,,,,0,,,t,2025-08-22 10:47:09.801592,2025-08-22 10:47:09.801592,,,0.9295,,1,normal,2,,1,usual,straight_cut,carpet,,{7},not_selected
75,мат,МАТ-1300x715x24-ЧЕШУЙ-ШИП5-Подпазл-1СОРТ,2,,7,,,"{""width"": 715, ""length"": 1300, ""thickness"": 24}",,,,,0,,,t,2025-08-22 10:49:13.915138,2025-08-22 10:49:13.915138,,,0.9295,,1,normal,3,,1,usual,podpuzzle,carpet,,{7},not_selected
76,мат,МАТ-1300x715x24-ЧЕШУЙ-ШИП5-Литой пазл-1СОРТ,2,,7,,,"{""width"": 715, ""length"": 1300, ""thickness"": 24}",,,,,0,,,t,2025-08-22 11:01:13.694089,2025-08-22 11:01:13.694089,,,0.9295,,1,normal,3,,1,usual,litoy_puzzle,carpet,,{7},not_selected
77,мат,МАТ-1300x715x24-ЧЕШУЙ-ШИП5-Литой пазл обрез-1СОРТ,2,,7,,,"{""width"": 715, ""length"": 1300, ""thickness"": 24}",,,,,0,,,t,2025-08-22 11:08:59.332159,2025-08-22 11:10:56.381,,,0.9295,,1,normal,3,,1,usual,litoy_puzzle,carpet,,{7},not_selected
78,мат,МАТ-1300x715x10-ЧЕШУЙ-ШИП0-4ст нов п-1СОРТ,2,,7,,,"{""width"": 715, ""length"": 1300, ""thickness"": 10}",,,,,0,,,t,2025-08-22 11:21:38.318205,2025-08-22 11:21:38.318205,,,0.9295,,4,normal,1,3,4,usual,puzzle,carpet,,{7},not_selected
79,мат,МАТ-1300x715x10-ЧЕШУЙ-ШИП0-1СОРТ,2,,7,,,"{""width"": 715, ""length"": 1300, ""thickness"": 10}",,,,,0,,,t,2025-08-22 11:23:29.469735,2025-08-22 11:23:29.469735,,,0.9295,,1,normal,1,,1,usual,straight_cut,carpet,,{7},not_selected
80,мат,МАТ-1300x715x24-ЧЕРТ-ШИП5-4ст стар п-1СОРТ,2,,6,,,"{""width"": 715, ""length"": 1300, ""thickness"": 24}",,,,,0,,,t,2025-08-22 11:27:36.096343,2025-08-22 11:27:36.096343,,,0.9295,,4,normal,3,1,4,usual,puzzle,carpet,,{6},not_selected
81,мат,МАТ-1300x715x24-ЧЕШУЙ-ШИП5-4ст стар п-1СОРТ,2,,7,,,"{""width"": 715, ""length"": 1300, ""thickness"": 24}",,,,,0,,,t,2025-08-22 11:30:22.954287,2025-08-22 11:30:22.954287,,,0.9295,,4,normal,3,1,4,usual,puzzle,carpet,,{7},not_selected
85,ВЕРБ,ВЕРБ-1950x1200x30-ЧЕШУЙ-1СОРТ,3,,7,,,"{""width"": 1200, ""length"": 1950, ""thickness"": 30}",,,,,0,,,t,2025-08-22 12:05:32.91858,2025-08-27 11:42:58.414,,,2.3595,,1,normal,1,,1,usual,straight_cut,carpet,,{7},not_selected
86,ВЕРБ,ВЕРБ-1830x1200x30-ЧЕРТ-1СОРТ,3,,6,,,"{""width"": 1200, ""length"": 1830, ""thickness"": 30}",,,,,0,,,t,2025-08-22 12:06:41.201205,2025-08-27 11:43:42.434,,,2.2143,,1,normal,1,,1,usual,straight_cut,carpet,,{6},not_selected
87,ВЕРБ,ВЕРБ-1830x1100x30-ЧЕРТ-1СОРТ,3,,6,,,"{""width"": 1100, ""length"": 1830, ""thickness"": 30}",,,,,0,,,t,2025-08-22 12:08:13.655431,2025-08-27 11:44:27.52,,,2.0313,,1,normal,1,,1,usual,straight_cut,carpet,,{6},not_selected
88,ВЕРБ,ВЕРБ-1830x1100x30-ЧЕШУЙ-1СОРТ,3,,7,,,"{""width"": 1100, ""length"": 1830, ""thickness"": 30}",,,,,0,,,t,2025-08-22 12:10:05.240923,2025-08-27 11:45:13.656,,,2.0313,,1,normal,1,,1,usual,straight_cut,carpet,,{7},not_selected
83,ВЕРБ,ВЕРБ-2000x1200x30-ЧЕШУЙ-1СОРТ,3,,7,,,"{""width"": 1200, ""length"": 2010, ""thickness"": 30}",,,,,0,,,t,2025-08-22 12:02:47.171637,2025-08-27 11:45:59.849,,,2.4321,,1,normal,1,,1,usual,straight_cut,carpet,,{7},not_selected
