id,role,permission_id,created_at
735,production,17,2025-07-28 17:59:09.293537
736,production,18,2025-07-28 17:59:09.297639
936,warehouse,1,2025-07-31 08:41:45.988324
937,warehouse,5,2025-07-31 08:41:45.988324
938,warehouse,6,2025-07-31 08:41:45.988324
939,warehouse,18,2025-07-31 08:41:45.988324
940,warehouse,20,2025-07-31 08:41:45.988324
941,warehouse,1,2025-07-31 08:41:45.988324
942,warehouse,5,2025-07-31 08:41:45.988324
943,warehouse,6,2025-07-31 08:41:45.988324
944,warehouse,18,2025-07-31 08:41:45.988324
945,warehouse,20,2025-07-31 08:41:45.988324
946,warehouse,1,2025-07-31 08:41:45.988324
947,warehouse,5,2025-07-31 08:41:45.988324
948,warehouse,6,2025-07-31 08:41:45.988324
949,warehouse,18,2025-07-31 08:41:45.988324
950,warehouse,20,2025-07-31 08:41:45.988324
951,warehouse,1,2025-07-31 08:41:45.988324
952,warehouse,5,2025-07-31 08:41:45.988324
953,warehouse,6,2025-07-31 08:41:45.988324
954,warehouse,18,2025-07-31 08:41:45.988324
955,warehouse,20,2025-07-31 08:41:45.988324
956,warehouse,1,2025-07-31 08:41:45.988324
957,warehouse,5,2025-07-31 08:41:45.988324
958,warehouse,6,2025-07-31 08:41:45.988324
959,warehouse,18,2025-07-31 08:41:45.988324
960,warehouse,20,2025-07-31 08:41:45.988324
961,warehouse,1,2025-07-31 08:41:45.988324
962,warehouse,5,2025-07-31 08:41:45.988324
963,warehouse,6,2025-07-31 08:41:45.988324
964,warehouse,18,2025-07-31 08:41:45.988324
965,warehouse,20,2025-07-31 08:41:45.988324
966,warehouse,1,2025-07-31 08:41:45.988324
967,warehouse,5,2025-07-31 08:41:45.988324
968,warehouse,6,2025-07-31 08:41:45.988324
969,warehouse,18,2025-07-31 08:41:45.988324
970,warehouse,20,2025-07-31 08:41:45.988324
971,warehouse,15,2025-07-31 08:41:45.988324
972,warehouse,12,2025-07-31 08:41:45.988324
973,warehouse,7,2025-07-31 08:41:45.988324
974,warehouse,2,2025-07-31 08:41:45.988324
975,warehouse,3,2025-07-31 08:41:45.988324
1041,director,1,2025-08-01 13:34:59.76791
1042,director,2,2025-08-01 13:34:59.775559
1043,director,3,2025-08-01 13:34:59.78092
1044,director,4,2025-08-01 13:34:59.785152
1045,director,5,2025-08-01 13:34:59.78936
1046,director,6,2025-08-01 13:34:59.79398
1047,director,7,2025-08-01 13:34:59.799186
1048,director,8,2025-08-01 13:34:59.804054
1049,director,9,2025-08-01 13:34:59.809681
1050,director,10,2025-08-01 13:34:59.815289
1051,director,11,2025-08-01 13:34:59.819785
1052,director,12,2025-08-01 13:34:59.827611
1053,director,13,2025-08-01 13:34:59.831605
1054,director,14,2025-08-01 13:34:59.845327
1055,director,15,2025-08-01 13:34:59.85064
1056,director,16,2025-08-01 13:34:59.855474
1057,director,17,2025-08-01 13:34:59.86
1058,director,18,2025-08-01 13:34:59.865715
1059,director,19,2025-08-01 13:34:59.870539
1060,director,20,2025-08-01 13:34:59.874729
1061,director,21,2025-08-01 13:34:59.879549
1062,director,22,2025-08-01 13:34:59.884387
1063,director,23,2025-08-01 13:34:59.889421
1064,director,24,2025-08-01 13:34:59.895103
1065,director,361,2025-08-01 13:34:59.899251
1066,director,362,2025-08-01 13:34:59.904522
1067,director,363,2025-08-01 13:34:59.9084
1068,director,364,2025-08-01 13:34:59.91276
1069,director,365,2025-08-01 13:34:59.918195
1070,manager,1,2025-08-01 13:34:59.922598
1071,manager,2,2025-08-01 13:34:59.926706
1072,manager,3,2025-08-01 13:34:59.931178
1073,manager,361,2025-08-01 13:34:59.934931
1074,manager,5,2025-08-01 13:34:59.938651
1075,manager,8,2025-08-01 13:34:59.942484
1076,manager,9,2025-08-01 13:34:59.946439
1077,manager,10,2025-08-01 13:34:59.953376
1078,manager,11,2025-08-01 13:34:59.958417
1079,manager,362,2025-08-01 13:34:59.963431
1080,manager,12,2025-08-01 13:34:59.970721
1081,manager,15,2025-08-01 13:34:59.976255
1082,manager,16,2025-08-01 13:34:59.981514
1083,manager,18,2025-08-01 13:34:59.986791
1084,manager,19,2025-08-01 13:34:59.993259
1085,manager,20,2025-08-01 13:34:59.999752
1086,manager,365,2025-08-01 13:35:00.007226
1087,production,1,2025-08-01 13:35:00.018984
1088,production,5,2025-08-01 13:35:00.024386
1089,production,8,2025-08-01 13:35:00.028941
1090,production,12,2025-08-01 13:35:00.035029
1091,production,13,2025-08-01 13:35:00.039486
1092,production,14,2025-08-01 13:35:00.044138
1093,production,363,2025-08-01 13:35:00.053851
1094,production,15,2025-08-01 13:35:00.06015
1095,production,17,2025-08-01 13:35:00.068932
1096,production,364,2025-08-01 13:35:00.073667
1097,production,18,2025-08-01 13:35:00.077706
1098,warehouse,1,2025-08-01 13:35:00.082379
1099,warehouse,361,2025-08-01 13:35:00.086438
1100,warehouse,5,2025-08-01 13:35:00.090429
1101,warehouse,6,2025-08-01 13:35:00.094566
1102,warehouse,8,2025-08-01 13:35:00.09885
1103,warehouse,18,2025-08-01 13:35:00.104384
976,director,1,2025-08-01 13:32:57.794496
977,director,2,2025-08-01 13:32:57.79983
978,director,3,2025-08-01 13:32:57.803774
979,director,4,2025-08-01 13:32:57.815441
980,director,5,2025-08-01 13:32:57.823929
981,director,6,2025-08-01 13:32:57.828516
982,director,7,2025-08-01 13:32:57.83315
983,director,8,2025-08-01 13:32:57.838352
984,director,9,2025-08-01 13:32:57.847138
985,director,10,2025-08-01 13:32:57.852449
986,director,11,2025-08-01 13:32:57.856848
987,director,12,2025-08-01 13:32:57.860702
988,director,13,2025-08-01 13:32:57.865793
989,director,14,2025-08-01 13:32:57.869707
990,director,15,2025-08-01 13:32:57.874262
991,director,16,2025-08-01 13:32:57.87796
992,director,17,2025-08-01 13:32:57.882509
993,director,18,2025-08-01 13:32:57.887055
994,director,19,2025-08-01 13:32:57.891277
995,director,20,2025-08-01 13:32:57.896125
996,director,21,2025-08-01 13:32:57.900417
997,director,22,2025-08-01 13:32:57.905643
998,director,23,2025-08-01 13:32:57.910148
999,director,24,2025-08-01 13:32:57.914594
1000,director,361,2025-08-01 13:32:57.919575
1001,director,362,2025-08-01 13:32:57.923759
1002,director,363,2025-08-01 13:32:57.927346
